2026-06-19 20:53:12.366 [UpdaterState] Load: D:\cc-dir-onboard-proof\config\director\updater-state.json
2026-06-19 20:53:12.393 [SingleInstanceGuard] Acquired Local\cc-director-instance-6d91127416734670
2026-06-19 20:53:13.377 [AgentOptions] DefaultNpmCliPath(pi): resolved from %APPDATA% to C:\Users\soren\AppData\Roaming\npm\pi.cmd
2026-06-19 20:53:13.377 [AgentOptions] DefaultNpmCliPath(codex): resolved from %APPDATA% to C:\Users\soren\AppData\Roaming\npm\codex.cmd
2026-06-19 20:53:13.377 [AgentOptions] DefaultNpmCliPath(gemini): resolved from %APPDATA% to C:\Users\soren\AppData\Roaming\npm\gemini.cmd
2026-06-19 20:53:13.479 [App] ApplyConfiguredToolPaths
2026-06-19 20:53:13.480 [App] ApplyConfiguredToolPaths: no agent section in config.json
2026-06-19 20:53:13.481 [App] ApplyConfiguredToolPresets
2026-06-19 20:53:13.482 [AgentToolConfig] Load: tool=ClaudeCode
2026-06-19 20:53:13.482 [AgentToolCatalog] GetEntry: tool=ClaudeCode
2026-06-19 20:53:13.483 [AgentToolConfig] Load: tool=ClaudeCode, no persisted config; using catalog defaults
2026-06-19 20:53:13.484 [AgentToolCatalog] GetEntry: tool=ClaudeCode
2026-06-19 20:53:13.484 [App] ApplyConfiguredToolPresets: claude preset=Automatic (skip permissions), model=<none>, defaultArgs='--dangerously-skip-permissions'
2026-06-19 20:53:13.484 [App] ApplyConfiguredVoiceSettings
2026-06-19 20:53:13.484 [App] ApplyConfiguredVoiceSettings: no Voice section in config.json
2026-06-19 20:53:13.694 [RootDirectoryStore] Load: path=D:\cc-dir-onboard-proof\config\director\root-directories.json
2026-06-19 20:53:13.695 [RootDirectoryStore] Load: created empty file
2026-06-19 20:53:13.695 [SessionStateStore] Initialized: FilePath=D:\cc-dir-onboard-proof\config\director\sessions.json
2026-06-19 20:53:13.696 [SessionHistoryStore] LoadAll: scanning D:\cc-dir-onboard-proof\config\director\sessions
2026-06-19 20:53:13.696 [SessionHistoryStore] LoadAll: folder does not exist, returning empty list
2026-06-19 20:53:13.698 [CcStorageMigration] EnsureMigrated: checking for legacy data
2026-06-19 20:53:13.703 [CcStorageMigration] Copied (missing): C:\Users\soren\AppData\Local\CcDirector\accounts.json -> D:\cc-dir-onboard-proof\config\director\accounts.json
2026-06-19 20:53:13.703 [CcStorageMigration] Copied (dest empty, src=341b): C:\Users\soren\AppData\Local\CcDirector\root-directories.json -> D:\cc-dir-onboard-proof\config\director\root-directories.json
2026-06-19 20:53:13.706 [CcStorageMigration] Copied (missing): D:\Personal\OneDrive\Documents\CcDirector\sessions.json -> D:\cc-dir-onboard-proof\config\director\sessions.json
2026-06-19 20:53:13.708 [CcStorageMigration] Copied (missing): D:\Personal\OneDrive\Documents\CcDirector\recent-sessions.json -> D:\cc-dir-onboard-proof\config\director\recent-sessions.json
2026-06-19 20:53:13.709 [CcStorageMigration] Copied (dest empty, src=3129b): D:\Personal\OneDrive\Documents\CcDirector\repositories.json -> D:\cc-dir-onboard-proof\config\director\repositories.json
2026-06-19 20:53:13.713 [CcStorageMigration] Copied (missing): D:\Personal\OneDrive\Documents\CcDirector\sessions\031053af32bc4e5ab71ccf86cfd763fe.json -> D:\cc-dir-onboard-proof\config\director\sessions\031053af32bc4e5ab71ccf86cfd763fe.json
2026-06-19 20:53:13.714 [CcStorageMigration] Copied (missing): D:\Personal\OneDrive\Documents\CcDirector\sessions\032663275e2f4c8bb2d740f2c99c636c.json -> D:\cc-dir-onboard-proof\config\director\sessions\032663275e2f4c8bb2d740f2c99c636c.json
2026-06-19 20:53:13.717 [CcStorageMigration] Copied (missing): D:\Personal\OneDrive\Documents\CcDirector\sessions\06da27909db94fdb93b7c8f48c5311cd.json -> D:\cc-dir-onboard-proof\config\director\sessions\06da27909db94fdb93b7c8f48c5311cd.json
2026-06-19 20:53:13.718 [CcStorageMigration] Copied (missing): D:\Personal\OneDrive\Documents\CcDirector\sessions\079e0d58afac4b36af6de1005d53b2a6.json -> D:\cc-dir-onboard-proof\config\director\sessions\079e0d58afac4b36af6de1005d53b2a6.json
2026-06-19 20:53:13.719 [CcStorageMigration] Copied (missing): D:\Personal\OneDrive\Documents\CcDirector\sessions\08b4526c838f4c948eb1c2cfad43b482.json -> D:\cc-dir-onboard-proof\config\director\sessions\08b4526c838f4c948eb1c2cfad43b482.json
2026-06-19 20:53:13.719 [CcStorageMigration] Copied (missing): D:\Personal\OneDrive\Documents\CcDirector\sessions\08b5a9d4877846fd85c944b32ba02a53.json -> D:\cc-dir-onboard-proof\config\director\sessions\08b5a9d4877846fd85c944b32ba02a53.json
2026-06-19 20:53:13.722 [CcStorageMigration] Copied (missing): D:\Personal\OneDrive\Documents\CcDirector\sessions\09e1f96a5c1b419ab88f633f6788a086.json -> D:\cc-dir-onboard-proof\config\director\sessions\09e1f96a5c1b419ab88f633f6788a086.json
2026-06-19 20:53:13.722 [CcStorageMigration] Copied (missing): D:\Personal\OneDrive\Documents\CcDirector\sessions\0a160010f616443488b532abe6af7917.json -> D:\cc-dir-onboard-proof\config\director\sessions\0a160010f616443488b532abe6af7917.json
2026-06-19 20:53:13.725 [CcStorageMigration] Copied (missing): D:\Personal\OneDrive\Documents\CcDirector\sessions\0bfa1a021c8d49d38af71f0cdf7fd1a9.json -> D:\cc-dir-onboard-proof\config\director\sessions\0bfa1a021c8d49d38af71f0cdf7fd1a9.json
